station,phase,time
das1900,P,1715148056.132002
das1900,P,1715148138.582
das2100,P,1715148300.272001
das1900,P,1715149017.9419992
das2100,P,1715149499.311998
das1700,P,1715149573.592
das1100,P,1715149856.1420002
das1900,P,1715149919.851999
das1900,P,1715150099.8820019
das2100,P,1715150099.792002
das2300,P,1715150099.9120011
das1100,P,1715150312.342001
das700,P,1715150892.3420002
das1100,P,1715151010.022
das2100,P,1715151780.901998
das700,P,1715151838.1820009
das900,P,1715151795.922
das1300,P,1715151850.722
das1900,P,1715151912.742
das1900,P,1715152620.5020008
das1300,P,1715152633.632
das1900,P,1715152855.3820019
das1100,P,1715153220.691999
das2100,P,1715153340.892
das700,P,1715153761.331999
das2300,P,1715153761.112001
das1100,P,1715153818.592001
das2700,P,1715153821.7619991
das700,P,1715154061.822
das1500,P,1715154074.772
das900,P,1715154154.812
das1700,P,1715154241.9419992
das700,P,1715154360.7619991
das1700,P,1715154361.851999
das700,P,1715154416.822
das1100,P,1715154411.151998
das1100,P,1715154558.512
das700,P,1715155139.401998
das1100,P,1715155098.3820002
das1100,P,1715155190.101999
das1100,P,1715155230.032
das1900,P,1715155321.932001
das1100,P,1715155440.721998
das1100,P,1715155715.152
das1100,P,1715156184.9120011
das1900,P,1715156401.3820019
das2100,P,1715156516.792002
das900,P,1715156638.952002
das1100,P,1715157035.1720011
das1500,P,1715157738.052
das2100,P,1715158259.952002
das1900,P,1715158561.3219998
das2100,P,1715158681.081999
das1500,P,1715158800.7619991
das2100,P,1715159221.252001
das1100,P,1715159341.3820019
das2100,P,1715159340.772001
das1300,P,1715159520.6220002
das2100,P,1715159520.901998
das700,P,1715160059.542002
das2300,P,1715160301.952002
das1100,P,1715160781.362001
das700,P,1715161020.5020008
das2100,P,1715161737.3219998
das1100,P,1715161800.8019998
das2100,P,1715161912.362001
das2300,P,1715162101.8820019
das900,P,1715162281.331999
das500,P,1715162715.022
das2100,P,1715162773.792
das900,P,1715163056.9120011
das2100,P,1715163154.642
das1900,P,1715163360.772001
das900,P,1715163382.6720011
das700,P,1715163479.292002
das1500,P,1715163480.432001
das2500,P,1715163476.642
das900,P,1715163838.252001
das900,P,1715163975.312
das1900,P,1715164320.671999
das2300,P,1715164321.302
das1900,P,1715164543.302
das2100,P,1715164560.1820009
das1900,P,1715164739.901998
das2100,P,1715164769.132
das2300,P,1715164921.552
das1100,P,1715165340.7619991
das1900,P,1715165341.052
das2100,P,1715165639.8019998
das2100,P,1715165969.962
das1900,P,1715166053.042002
das900,P,1715166070.1420002
das1900,P,1715166133.932
das1900,P,1715166369.652
das1100,P,1715166459.792002
das2100,P,1715166562.392
das1100,P,1715167381.872
das1900,P,1715167437.4419992
das1100,P,1715167779.342001
das1900,P,1715167782.952002
das1100,P,1715167941.342001
das1900,P,1715167981.011999
das900,P,1715167998.122
das700,P,1715168238.692
das2300,P,1715168461.4419992
das1500,P,1715168488.0419998
das700,P,1715168734.5619998
das2300,P,1715168735.4419992
das1900,P,1715169001.851999
das1900,P,1715169301.311998
das1900,P,1715169419.9219992
das1100,P,1715169593.721998
das1900,P,1715169779.2819998
das2300,P,1715169779.302
das1900,P,1715169817.632002
das1900,P,1715169887.9419992
das1900,P,1715169972.4220002
das1700,P,1715170302.581999
das700,P,1715170397.912
das1100,P,1715170499.581999
das2300,P,1715170632.882
das2900,P,1715170631.272
das1900,P,1715171039.971998
das2300,P,1715171058.352
das1100,P,1715171118.4620001
das1700,P,1715171316.662001
das1700,P,1715171350.772
das1100,P,1715171508.122
das1900,P,1715171508.4819999
das900,P,1715171580.5619981
das1500,P,1715171532.952
das1700,P,1715171532.1820002
das2900,P,1715171533.4220002
das1500,P,1715171954.892
das2100,P,1715171954.962
das1500,P,1715172078.172
das2100,P,1715172164.991999
das2700,P,1715172649.042002
das1100,P,1715172711.232
das2500,P,1715172777.671999
das1500,P,1715172856.5219998
das1500,P,1715173032.442
das2500,P,1715173255.5220008
das1900,P,1715173655.652
das1500,P,1715173692.112
das900,P,1715174058.152
das700,P,1715174140.5220008
das2500,P,1715174380.991999
das900,P,1715174420.3219998
das2900,P,1715174713.4220002
das2900,P,1715175121.122
das300,P,1715175357.132002
das700,P,1715175510.431999
das700,P,1715175613.7020001
das1900,P,1715175661.232
das900,P,1715176274.432
das1500,P,1715176496.0020008
das300,P,1715176558.782
das1500,P,1715176692.352
das1300,P,1715176779.4120011
das1700,P,1715176874.982
das2700,P,1715177100.851999
das300,P,1715177194.9020002
das1300,P,1715177376.3219998
das1900,P,1715177372.4819999
das500,P,1715177920.851999
das1700,P,1715178715.292002
das1900,P,1715178714.5220008
das1300,P,1715178944.691999
das700,P,1715179452.512
das900,P,1715179452.6019998
das1100,P,1715179453.092
das1500,P,1715179452.712
das2300,P,1715179453.722
das300,P,1715179718.3219998
das1900,P,1715180213.392
das1100,P,1715180544.922001
das1700,P,1715180967.7420008
das300,P,1715181720.042002
das1100,P,1715181807.842001
das300,P,1715181880.6820009
das700,P,1715181880.511999
das2100,P,1715181871.542
das700,P,1715181947.962
das2100,P,1715181959.842001
das1100,P,1715182079.991999
das1500,P,1715182351.202
das700,P,1715182411.152
das1500,P,1715182410.9120011
das1900,P,1715182414.861999
das900,P,1715182681.632002
das900,P,1715183096.132002
das1500,P,1715183401.052
das1900,P,1715183390.221998
das1500,P,1715183960.202
das1900,P,1715184059.5619981
das500,P,1715184105.7419991
das2100,P,1715184481.101999
das2700,P,1715184481.592001
das1100,P,1715184549.0819998
das900,P,1715185081.112001
das1900,P,1715185158.512
das1500,P,1715185218.032
das2700,P,1715185217.7020001
das700,P,1715185460.8620002
das1900,P,1715186174.1420002
das500,P,1715186307.0219991
das700,P,1715186307.601999
das1900,P,1715186850.011999
das900,P,1715186974.882
das500,P,1715187431.4220002
das2100,P,1715187434.112
das900,P,1715187685.632
das1300,P,1715187828.831999
das1100,P,1715187985.392
das1900,P,1715188021.491999
das900,P,1715188200.811998
das900,P,1715188259.4620001
das1300,P,1715188680.311998
das1100,P,1715188800.151998
das1100,P,1715189324.191999
das1300,P,1715189328.511999
das1700,P,1715189603.4819999
das500,P,1715189714.472
das700,P,1715189714.402
das900,P,1715189714.432
das700,P,1715189783.492001
das1100,P,1715189940.4819999
das1500,P,1715190553.112
das1100,P,1715190795.492
das700,P,1715190857.492
das900,P,1715191374.581999
das1900,P,1715191375.5020008
das700,P,1715191935.752
das1700,P,1715192337.4819999
das1900,P,1715192338.072
das2300,P,1715192338.2020018
das1700,P,1715192353.782
das2100,P,1715192355.012
das2700,P,1715193121.811998
das1900,P,1715193179.721998
das1100,P,1715193193.532
das1700,P,1715193267.052
das1700,P,1715193501.092
das1900,P,1715193534.632002
das900,P,1715193558.572
das1100,P,1715193558.352
das1700,P,1715193558.302
das2100,P,1715193558.402
das2300,P,1715193558.3420002
das1900,P,1715193614.272
das1100,P,1715193707.991999
das2500,P,1715193734.552
das1100,P,1715193896.0220008
das1700,P,1715193900.532
das1100,P,1715194141.392
das700,P,1715194335.0019999
das1100,P,1715194333.6220002
das1500,P,1715194342.722
das1100,P,1715194621.162001
das700,P,1715194650.7420008
das1900,P,1715195220.842001
das900,P,1715195478.0419998
das1300,P,1715196013.512
das700,P,1715196551.302
das1300,P,1715196720.311998
das1900,P,1715196721.532
das2300,P,1715196721.572
das2100,P,1715196840.712
das2700,P,1715196841.3219998
das2100,P,1715197141.221998
das1700,P,1715197557.151998
das1900,P,1715197556.892
das2700,P,1715197561.952002
das1900,P,1715198159.932001
das1100,P,1715198772.2419999
das1700,P,1715198817.772001
das1100,P,1715199238.721998
das2100,P,1715199238.712
das2900,P,1715199236.952002
das1900,P,1715199419.6220002
das2100,P,1715199480.511999
das1100,P,1715199714.1820009
das1100,P,1715200078.612001
das1700,P,1715201039.101999
das1900,P,1715202721.2819998
das1100,P,1715202779.6220002
das1900,P,1715203140.052
das1100,P,1715203373.4219992
das1900,P,1715203377.8820019
das1900,P,1715203920.432001
das1900,P,1715205239.3820019
das1100,P,1715208718.7619991
das1700,P,1715208738.0419998
das1300,P,1715210471.872
das2900,P,1715210475.172
das1900,P,1715210761.132002
das100,P,1715216216.712
das2100,P,1715218034.052
das2300,P,1715224139.331999
das100,P,1715224164.2619991
das1100,P,1715224154.672
das2700,P,1715224381.792002
das500,P,1715227495.342001
das2700,P,1715228039.9419992
das2900,P,1715229660.351999
das900,P,1715230642.1720011
das2700,P,1715234041.782
das2700,P,1715235721.351999
das2100,P,1715235794.352
das1100,P,1715237958.492
das1100,P,1715240100.5619981
das1900,P,1715242799.252001
das1900,P,1715242859.191999
das1900,P,1715243941.491999
das1900,P,1715250181.1420002
das2300,P,1715251261.601999
das1100,P,1715253421.7020018
das1100,P,1715254796.151998
das1900,P,1715257681.782
das1100,P,1715258098.511999
das1100,P,1715260112.6819992
das1900,P,1715260559.1820009
das2100,P,1715260616.4819999
das2100,P,1715260954.402
das1900,P,1715262119.401998
das1100,P,1715262313.532
das1900,P,1715263316.842001
das1100,P,1715264160.351999
das1100,P,1715265297.2419991
das900,P,1715266909.671999
das1900,P,1715267486.872
das2300,P,1715267670.271999
das700,P,1715267792.431999
das1300,P,1715268163.212
das1100,P,1715269163.6720011
das700,P,1715269439.691999
das1900,P,1715271781.7020018
das700,P,1715272138.7020018
das1900,P,1715272380.9120011
das1900,P,1715273017.651998
das1900,P,1715273117.5219998
das1900,P,1715274078.6019998
das1900,P,1715275155.2419999
das700,P,1715275615.112001
das500,P,1715275631.472
das1100,P,1715275632.062
das2300,P,1715275633.3219998
das2500,P,1715275633.0019999
das2700,P,1715275637.302
das2900,P,1715275632.792
das300,P,1715275694.2819998
das900,P,1715275694.402
das1900,P,1715275698.3219998
das2300,P,1715276158.372
das2500,P,1715276158.991999
das2500,P,1715276201.581999
das2700,P,1715276200.952002
das2500,P,1715276242.402
das2900,P,1715276860.7419991
das2700,P,1715280601.971998
das2500,P,1715283360.221998
das1100,P,1715287853.811998
das1100,P,1715292137.152
das1900,P,1715292660.572
das900,P,1715299737.0220008
das1900,P,1715300400.7619991
das1900,P,1715307204.032
das2900,P,1715307204.122
das1100,P,1715308612.901998
das2300,P,1715310901.212
das1900,P,1715313779.372
das900,P,1715314681.162001
das1900,P,1715322205.712
das2100,P,1715330713.432
das2300,P,1715333275.351999
das1500,P,1715334978.8019998
das1700,P,1715344860.0220008
das1900,P,1715344861.862001
das1900,P,1715347680.552
das2700,P,1715347681.4120011
das500,P,1715348352.962
das1700,P,1715348940.362001
das1900,P,1715349179.4419992
das1900,P,1715349419.662001
das1900,P,1715349540.8820019
das700,S,1715040147.4120011
das1300,S,1715040135.912
das2700,S,1715040206.292
das1100,S,1715040501.032
das1500,S,1715040493.3420002
das1900,S,1715040566.422001
das2100,S,1715040566.252001
das2500,S,1715040600.7020018
das2300,S,1715040985.152
das1100,S,1715041286.052
das2500,S,1715041418.2020018
das1900,S,1715041698.232
das2300,S,1715041701.6720011
das2900,S,1715041783.671999
das1700,S,1715041820.0819998
das2100,S,1715042231.172
das1900,S,1715042547.712
das900,S,1715042632.712
das700,S,1715042718.072
das2300,S,1715042782.232
das300,S,1715042951.732
das100,S,1715043300.732
das2900,S,1715043300.712
das2300,S,1715043743.202
das2500,S,1715043744.652
das1700,S,1715043804.7420008
das2500,S,1715043800.212
das1100,S,1715043984.572
das2700,S,1715044100.6220002
das1900,S,1715044349.922001
das2500,S,1715044939.692
das1900,S,1715045016.752001
das2100,S,1715045067.872
das900,S,1715045136.402
das1500,S,1715045203.691999
